city,weekofyear,ndvi_ne,ndvi_nw,ndvi_se,ndvi_sw,ndvi_ce,precipitation_amt_mm,precipitation_ground_mm,reanalysis_air_temp_k,reanalysis_avg_temp_k,reanalysis_dew_point_temp_k,reanalysis_max_air_temp_k,reanalysis_min_air_temp_k,reanalysis_precip_amt_kg_per_m2,reanalysis_relative_humidity_percent,reanalysis_sat_precip_amt_mm,reanalysis_specific_humidity_g_per_kg,reanalysis_tdtr_k,station_avg_temp_c,station_diur_temp_rng_c,station_max_temp_c,station_min_temp_c,station_precip_mm,total_cases
sj,18.0,0.12,0.1,0.2,0.18,3.16,12.42,13.06,297.57,297.74,292.41,299.8,295.9,32.0,73.37,12.42,14.01,2.63,25.44,6.9,29.4,20.0,16.0,4
sj,19.0,0.17,0.14,0.16,0.16,4.33,22.82,30.44,298.21,298.44,293.95,300.9,296.4,17.94,77.37,22.82,15.37,2.37,26.71,6.37,31.7,22.2,8.6,5
sj,20.0,0.03,0.17,0.16,0.17,-5.49,34.54,35.77,298.78,298.88,295.43,300.5,297.3,26.1,82.05,34.54,16.85,2.3,26.71,6.49,32.2,22.8,41.4,4
sj,21.0,0.13,0.25,0.23,0.24,-3.83,15.36,23.45,298.99,299.23,295.31,301.4,297.0,13.9,80.34,15.36,16.67,2.43,27.47,6.77,33.3,23.3,4.0,3
sj,22.0,0.2,0.26,0.25,0.25,-5.81,7.52,18.16,299.52,299.66,295.82,301.9,297.5,12.2,80.46,7.52,17.21,3.01,28.94,9.37,35.0,23.9,5.8,6
sj,23.0,0.13,0.17,0.25,0.18,1.53,9.58,5.29,299.63,299.76,295.85,302.4,298.1,26.49,79.89,9.58,17.21,2.1,28.11,6.94,34.4,23.9,39.1,2
sj,24.0,0.11,0.09,0.21,0.21,5.94,3.48,19.89,299.21,299.22,295.87,301.3,297.7,38.6,82.0,3.48,17.23,2.04,27.41,6.77,32.2,23.3,29.7,4
sj,25.0,0.07,0.07,0.15,0.13,2.2,151.12,158.94,299.59,299.53,296.53,300.6,298.4,30.0,83.38,151.12,17.98,1.7,28.37,7.69,33.9,22.8,21.1,5
sj,26.0,0.1,0.15,0.13,0.12,-0.3,19.32,45.19,299.58,299.56,296.38,302.1,297.7,37.51,82.77,19.32,17.79,1.89,28.33,7.39,33.9,22.8,21.1,10
sj,27.0,0.13,0.12,0.16,0.2,6.67,14.41,28.79,300.15,300.28,296.65,302.3,298.7,28.4,81.28,14.41,18.07,2.01,28.33,6.51,33.9,24.4,1.1,6
sj,28.0,0.19,0.08,0.19,0.15,1.31,22.27,40.69,299.51,299.59,296.04,301.8,298.0,43.72,81.47,22.27,17.42,2.16,27.56,7.16,31.7,21.7,63.7,8
sj,29.0,0.29,0.21,0.3,0.28,-4.88,59.17,63.75,299.67,299.75,296.33,302.0,297.3,40.9,82.14,59.17,17.74,2.41,28.13,6.9,32.8,23.9,12.2,2
sj,30.0,0.15,0.17,0.23,0.21,-0.91,16.48,36.59,299.56,299.64,295.96,301.8,297.1,42.53,80.74,16.48,17.34,2.07,28.11,6.36,31.7,22.8,32.6,6
sj,31.0,0.13,0.25,0.38,0.38,1.16,32.66,64.67,299.86,299.95,296.17,303.0,298.3,34.6,80.58,32.66,17.59,2.59,28.24,8.09,34.4,22.8,37.6,17
sj,32.0,0.13,0.06,0.16,0.14,1.75,28.8,80.08,300.39,300.48,296.53,302.5,298.8,20.0,79.65,28.8,17.95,2.33,28.2,7.56,33.3,23.3,11.4,23
sj,33.0,0.13,0.13,0.21,0.17,-5.7,90.75,116.61,299.96,299.96,297.04,302.6,298.5,101.9,84.18,90.75,18.52,1.86,28.04,6.69,32.8,22.8,44.7,13
sj,34.0,0.19,0.17,0.17,0.17,0.42,32.4,64.81,300.33,300.41,296.73,302.5,298.1,25.9,80.95,32.4,18.17,2.49,28.34,7.01,33.3,23.3,5.4,21
sj,35.0,0.25,0.33,0.26,0.28,5.42,40.94,96.0,300.12,300.22,297.02,302.2,298.7,39.8,83.35,40.94,18.52,1.9,28.66,6.53,32.2,24.4,13.7,28
sj,36.0,0.24,0.2,0.28,0.23,-0.29,28.86,78.7,300.53,300.64,296.12,303.8,298.0,30.4,77.17,28.86,17.56,3.47,28.33,7.61,32.8,23.3,14.2,24
sj,37.0,0.13,0.39,0.12,0.15,8.86,64.56,100.79,300.67,300.79,297.19,302.9,299.0,24.18,81.55,64.56,18.78,2.9,28.69,8.06,33.9,24.4,25.9,20
sj,38.0,0.2,0.18,0.25,0.31,2.49,143.73,219.29,299.86,299.9,296.43,301.7,298.7,36.6,81.64,143.73,17.89,1.74,28.24,8.11,32.8,23.9,3.3,40
sj,39.0,0.12,0.26,0.2,0.24,-5.8,51.39,102.75,300.43,300.6,296.03,302.4,299.1,16.4,77.05,51.39,17.47,2.26,28.34,7.73,32.8,24.4,15.8,27
sj,40.0,0.23,0.19,0.21,0.2,-1.82,31.18,112.45,300.78,300.85,296.66,303.3,299.1,36.1,78.52,31.18,18.18,2.9,28.77,8.03,33.3,23.9,11.7,42
sj,41.0,0.17,0.07,0.18,0.16,0.03,51.42,123.63,299.86,299.94,296.93,301.8,298.1,132.4,84.11,51.42,18.51,2.57,28.63,7.31,33.3,24.4,57.7,33
sj,42.0,0.13,0.07,0.18,0.17,7.44,143.55,228.64,299.2,299.31,296.54,301.5,297.5,203.96500000000026,85.62,143.55,18.12,1.87,27.63,7.4,32.8,23.3,61.8,43
sj,43.0,0.15,0.09,0.13,0.12,3.56,127.03,201.51,298.9,299.04,296.26,300.9,297.2,94.52,85.5,127.03,17.75,1.8,26.77,7.63,32.2,21.7,91.5,37
sj,44.0,0.25,0.18,0.32,0.3,7.04,101.35,216.73,299.73,299.78,296.53,301.4,298.5,22.26,82.79,101.35,18.03,1.79,27.97,8.64,33.3,22.8,6.3,57
sj,45.0,0.15,0.18,0.18,0.19,4.67,20.46,164.3,299.97,300.04,296.56,302.2,298.5,14.4,81.72,20.46,18.07,2.39,28.47,8.43,33.3,23.9,6.6,71
sj,46.0,0.29,0.22,0.18,0.23,8.52,20.0,101.8,300.35,300.5,295.69,302.3,298.8,7.1,75.73,20.0,17.09,2.2,27.54,8.6,32.8,22.2,38.9,44
sj,47.0,0.27,0.33,0.13,0.13,0.2,20.04,130.53,299.51,299.64,295.38,301.6,297.0,36.7,78.15,20.04,16.75,2.53,26.8,7.41,31.7,22.2,9.6,56
sj,48.0,0.14,0.22,0.18,0.14,9.92,33.61,136.14,298.24,298.26,294.81,300.2,296.5,44.3,81.39,33.61,16.21,1.99,26.2,7.13,31.1,20.6,26.7,53
sj,49.0,0.11,0.09,0.27,0.25,11.74,9.96,107.49,298.54,298.69,294.78,300.8,296.7,71.8,79.91,9.96,16.16,2.06,25.99,5.54,29.4,22.2,69.0,52
sj,50.0,0.12,0.26,0.19,0.21,7.74,0.0,92.77,298.2,298.28,292.0,300.6,296.1,4.1,68.72,0.0,13.62,2.99,24.69,7.77,29.4,19.4,2.8,47
sj,51.0,0.29,0.27,0.26,0.3,6.9,52.45,105.73,298.3,298.38,294.56,300.9,296.0,32.31,80.08,52.45,15.95,2.87,25.71,6.59,30.6,21.1,19.8,26
sj,52.0,0.3,0.28,0.17,0.16,4.32,0.0,51.56,298.04,298.09,292.11,299.8,295.3,5.46,69.68,0.0,13.68,2.29,25.16,5.84,28.9,21.1,20.9,27
sj,1.0,0.15,0.14,0.15,0.17,4.71,0.0,44.23,297.06,297.14,291.91,299.0,293.9,4.8,72.94,0.0,13.51,2.53,24.39,7.46,29.4,18.9,5.3,21
sj,2.0,0.13,0.1,0.25,0.14,0.51,15.85,63.9,297.67,297.83,293.28,299.3,295.8,26.33,76.63,15.85,14.67,1.89,24.91,6.31,28.3,21.1,31.7,21
sj,3.0,0.13,0.29,0.26,0.22,0.54,0.0,43.44,297.42,297.66,293.41,299.3,296.1,27.4,78.5,0.0,14.8,2.0,25.24,6.57,29.4,21.1,16.5,26
sj,4.0,0.33,0.31,0.22,0.2,4.22,0.0,71.27,297.88,298.15,292.38,300.3,296.0,0.7,71.6,0.0,13.88,2.56,24.71,7.77,29.4,18.3,6.8,34
sj,5.0,0.09,0.25,0.24,0.2,3.07,0.0,64.69,298.04,298.23,292.57,300.1,295.0,5.7,71.78,0.0,14.04,2.77,24.83,8.16,30.0,18.9,5.9,37
sj,6.0,0.38,0.23,0.26,0.23,3.72,0.0,31.99,297.74,297.93,293.15,299.7,295.0,19.69,75.79,0.0,14.54,2.43,25.06,6.89,30.0,20.6,7.3,17
sj,7.0,0.07,0.22,0.28,0.27,-3.06,18.05,56.56,296.88,297.11,292.97,300.2,294.1,21.4,78.9,18.05,14.46,3.2,25.14,8.87,32.2,18.9,5.6,19
sj,8.0,0.13,0.21,0.11,0.12,7.06,0.0,47.72,297.41,297.61,293.63,300.1,295.8,26.2,79.74,0.0,15.04,2.57,25.84,8.47,32.2,20.0,17.8,25
sj,9.0,0.17,0.21,0.14,0.19,9.12,31.79,67.56,297.51,297.83,293.41,299.8,295.8,23.8,77.98,31.79,14.79,2.11,25.26,7.2,30.6,20.0,30.7,18
