city,weekofyear,ndvi_ne,ndvi_nw,ndvi_se,ndvi_sw,ndvi_ce,precipitation_amt_mm,precipitation_ground_mm,reanalysis_avg_temp_k,reanalysis_dew_point_temp_k,reanalysis_precip_amt_kg_per_m2,reanalysis_relative_humidity_percent,reanalysis_sat_precip_amt_mm,reanalysis_tdtr_k,station_avg_temp_c,station_diur_temp_rng_c,station_max_temp_c,station_min_temp_c,station_precip_mm,total_cases,precip_composite,precip_composite_lag1,reanalysis_air_temp_k_lag1,reanalysis_relative_humidity_percent_lag1,precip_composite_lag2,reanalysis_air_temp_k_lag2,reanalysis_relative_humidity_percent_lag2,precip_composite_lag3,reanalysis_air_temp_k_lag3,reanalysis_relative_humidity_percent_lag3,precip_composite_lag4,reanalysis_air_temp_k_lag4,reanalysis_relative_humidity_percent_lag4,precip_temp_interaction,weekofyear_sin,weekofyear_cos,week_temp_interaction,week_humidity_interaction,ndvi_ce_log,temp_binned_low,temp_binned_optimal,temp_binned_high,humidity_precip_interaction,temp_binned_low.1,temp_binned_optimal.1,temp_binned_high.1,temp_binned_low.2,temp_binned_optimal.2,temp_binned_high.2
sj,18.0,0.4955248169243286,0.4423076923076923,0.4063860667634248,0.3333333333333333,1.2728070058484475,12.42,13.06,-0.7948717948718055,292.41,32.0,0.0,12.42,2.63,0.241026131903896,6.9,0.1829616923956544,0.3055555555555554,16.0,4,12.74,50.68000000000001,0.0,0.0,50.685,0.0,0.0,50.69,0.0,0.0,50.685,0.0,0.0,3829.13076,0.6011835798365077,-0.4149670633553882,0.2162242236902913,-41.678910467664885,0.2014310912618233,1,0,0,934.7338,1,0,0,1,0,0
sj,19.0,0.5768917819365338,0.5192307692307693,0.2902757619738748,0.282051282051282,1.299936292551097,22.82,30.44,-0.4358974358974503,293.95,17.94,0.0,22.82,2.37,0.484158131521011,6.37,0.445969125214408,0.6111111111111109,8.6,5,26.630000000000003,12.74,-0.49942196531790206,0.0,50.685,0.0,0.0,50.69,0.0,0.0,50.685,0.0,0.0,8395.804339999999,0.5467815224335784,-0.484406159188807,0.2964116813319174,-51.30580006809031,0.3904447750557978,1,0,0,2060.3631000000005,1,0,0,1,0,0
sj,20.0,0.3490642799023596,0.576923076923077,0.2902757619738748,0.3076923076923077,1.0722357836450975,34.54,35.77,-0.2102564102564246,295.43,26.1,0.304878048780487,34.54,2.3,0.484158131521011,6.49,0.5031446540880505,0.6944444444444445,41.4,4,35.155,26.630000000000003,-0.20346820809249294,0.0,12.74,-0.4999999999999824,0.0,50.69,0.0,0.0,50.685,0.0,0.0,10577.11078,0.484406159188807,-0.5467815224335785,0.3181473772045332,-61.41530688743885,-1.3353622045233544,1,0,0,2884.46775,1,0,0,1,0,0
sj,21.0,0.5117982099267697,0.7307692307692307,0.4934687953555872,0.4871794871794871,1.110726908368515,15.36,23.45,-0.0307692307692322,295.31,13.9,0.006968641114984334,15.36,2.43,0.6296544462525125,6.77,0.6289308176100624,0.763888888888889,4.0,3,19.405,35.155,0.060115606936413976,0.3062117235345571,26.630000000000003,-0.2037037037037108,0.0,12.74,-0.4999999999999824,0.0,50.685,0.0,0.0,6285.66677,0.41496706335538824,-0.6011835798365078,0.310394254758389,-66.11852378589636,-1.0192840134014982,1,0,0,1558.9977,1,0,0,1,0,0
sj,22.0,0.6257119609438567,0.75,0.5515239477503622,0.5128205128205129,1.0648158077948002,7.52,18.16,0.1897435897435929,295.82,12.2,0.0278745644599312,7.52,3.01,0.9110749497463392,9.37,0.8233276157804458,0.847222222222222,5.8,6,12.84,19.405,0.15722543352602594,0.0069991251093631645,35.155,0.0601851851851829,0.31055900621117927,26.630000000000003,-0.2037037037037108,0.0,12.74,-0.4999999999999824,0.0,4483.21536,0.3394768133138001,-0.6468190268978957,0.2919726735353565,-71.24379182405724,-1.3975957378874546,1,0,0,1033.1064,1,0,0,1,0,0
sj,23.0,0.5117982099267697,0.576923076923077,0.5515239477503622,0.3333333333333333,1.2350115038609957,9.58,5.29,0.2410256410256268,295.85,26.49,0.0,9.58,2.1,0.7521776586579879,6.94,0.7547169811320752,0.847222222222222,39.1,2,7.435,12.84,0.4023121387283251,0.027996500437446205,19.405,0.1574074074074217,0.007098491570543142,35.155,0.0601851851851829,0.3153153153153146,26.630000000000003,-0.2037037037037108,0.0,1970.66651,0.2590362268988866,-0.6830223960375108,0.2295395746681822,-74.69844762813779,-0.0687233602037236,1,0,0,593.9821499999999,1,0,0,1,0,0
sj,24.0,0.4792514239218876,0.4230769230769231,0.4354136429608122,0.4102564102564102,1.3372680460479056,3.48,19.89,-0.0358974358974328,295.87,38.6,0.2961672473867601,3.48,2.04,0.6181678950894994,6.77,0.5031446540880505,0.763888888888889,29.7,4,11.685,7.435,0.45317919075145274,0.0,12.84,0.4027777777777787,0.02839396628216593,19.405,0.1574074074074217,0.007207207207209098,35.155,0.0601851851851829,0.32036613272311204,4478.27607,0.17481830899700346,-0.7092657606104089,0.1303080056853738,-79.61722902893626,0.644190566781482,1,0,0,958.17,1,0,0,1,0,0
sj,25.0,0.4141578519121237,0.3846153846153846,0.2612481857764873,0.2051282051282051,1.2505470782975556,151.12,158.94,0.1230769230768991,296.53,30.0,0.5365853658536578,151.12,1.7,0.8019527136977126,7.69,0.6975414522584331,0.6944444444444445,21.1,5,155.03,11.685,0.25895953757224616,0.29746281714785694,7.435,0.4537037037037108,0.0,12.84,0.4027777777777787,0.02882882882882971,19.405,0.1574074074074217,0.0073226544622445435,46913.99646,0.08805114649339575,-0.725166433266207,0.0727465542902186,-82.77206592229574,0.0433091836145382,1,0,0,12926.4014,1,0,0,1,0,0
sj,26.0,0.4629780309194466,0.5384615384615385,0.2031930333817124,0.1794871794871794,1.1925785169671077,19.32,45.19,0.1384615384615298,296.38,37.51,0.4303135888501746,19.32,1.89,0.7942950129223699,7.39,0.6975414522584331,0.6944444444444445,21.1,10,32.254999999999995,155.03,0.43468208092486244,0.5389326334208211,11.685,0.2592592592592508,0.301685891748004,7.435,0.4537037037037108,0.0,12.84,0.4027777777777787,0.029290617848971304,11212.97982,-3.524164827820677e-16,-0.730492546392387,-1.9594450181685966e-16,-82.77,-0.382057505800431,1,0,0,2669.7463499999994,1,0,0,1,0,0
sj,27.0,0.5117982099267697,0.4807692307692307,0.2902757619738748,0.3846153846153846,1.3541948659563965,14.41,28.79,0.5076923076922861,296.65,28.4,0.17073170731707418,14.41,2.01,0.7942950129223699,6.51,0.6975414522584331,0.9166666666666664,1.1,6,21.6,32.254999999999995,0.43005780346821926,0.4321959755030622,155.03,0.4351851851851916,0.5465838509316759,11.685,0.2592592592592508,0.30630630630630695,7.435,0.4537037037037108,0.0,7346.471399999999,-0.08805114649339582,-0.725166433266207,-0.0899578841696079,-80.68737728668982,0.7569175614543864,1,0,0,1755.648,1,0,0,1,0,0
