city,weekofyear,ndvi_ne,ndvi_nw,ndvi_se,ndvi_sw,ndvi_ce,precipitation_amt_mm,precipitation_ground_mm,reanalysis_avg_temp_k,reanalysis_dew_point_temp_k,reanalysis_max_air_temp_k,reanalysis_min_air_temp_k,reanalysis_precip_amt_kg_per_m2,reanalysis_relative_humidity_percent,reanalysis_sat_precip_amt_mm,reanalysis_tdtr_k,station_avg_temp_c,station_diur_temp_rng_c,station_max_temp_c,station_min_temp_c,station_precip_mm,total_cases,precip_composite,precip_composite_lag1,reanalysis_air_temp_k_lag1,reanalysis_relative_humidity_percent_lag1,precip_composite_lag2,reanalysis_air_temp_k_lag2,reanalysis_relative_humidity_percent_lag2,precip_composite_lag3,reanalysis_air_temp_k_lag3,reanalysis_relative_humidity_percent_lag3,precip_composite_lag4,reanalysis_air_temp_k_lag4,reanalysis_relative_humidity_percent_lag4,precip_temp_interaction
sj,18.0,0.49552481692432865,0.4423076923076923,0.4063860667634248,0.3333333333333333,0.27120011732836763,12.42,13.06,0.2627320323655423,292.41,0.07174172977282048,0.6851851851851823,32.0,73.37,12.42,2.63,0.24102613190389602,6.9,0.1829616923956544,0.30555555555555547,16.0,4,12.867999999999999,53.808,298.65,80.3,53.808499999999995,298.65,80.3,53.80899999999999,298.65,80.3,53.808499999999995,298.65,80.3,3829.1307599999996
sj,19.0,0.5768917819365338,0.5192307692307693,0.29027576197387484,0.28205128205128205,0.29832940403101726,22.82,30.44,0.3960019038553084,293.95,0.15942606616181726,0.7314814814814786,17.94,77.37,22.82,2.37,0.484158131521011,6.37,0.445969125214408,0.6111111111111109,8.6,5,28.154,12.867999999999999,297.57,73.37,53.808499999999995,298.65,80.3,53.80899999999999,298.65,80.3,53.808499999999995,298.65,80.3,8395.804339999999
sj,20.0,0.3490642799023596,0.576923076923077,0.29027576197387484,0.3076923076923077,0.07062889512501774,34.54,35.77,0.47977153736316236,295.43,0.1275408529294556,0.814814814814815,26.1,82.05,34.54,2.3,0.484158131521011,6.49,0.5031446540880505,0.6944444444444445,41.4,4,35.401,28.154,298.21,77.37,12.867999999999999,297.57,73.37,53.80899999999999,298.65,80.3,53.808499999999995,298.65,80.3,10577.11078
sj,21.0,0.5117982099267697,0.7307692307692307,0.49346879535558724,0.48717948717948717,0.10912001984843518,15.36,23.45,0.5464064731080508,295.31,0.19928258270227156,0.7870370370370362,13.9,80.34,15.36,2.43,0.6296544462525125,6.77,0.6289308176100624,0.763888888888889,4.0,3,21.023,35.401,298.78,82.05,28.154,298.21,77.37,12.867999999999999,297.57,73.37,53.808499999999995,298.65,80.3,6285.66677
sj,22.0,0.6257119609438567,0.75,0.5515239477503622,0.5128205128205129,0.06320891927472043,7.52,18.16,0.6282722513089097,295.82,0.2391390992427259,0.8333333333333325,12.2,80.46,7.52,3.01,0.9110749497463391,9.37,0.8233276157804458,0.847222222222222,5.8,6,14.968,21.023,298.99,80.34,35.401,298.78,82.05,28.154,298.21,77.37,12.867999999999999,297.57,73.37,4483.21536
sj,23.0,0.5117982099267697,0.576923076923077,0.5515239477503622,0.3333333333333333,0.23340461534091553,9.58,5.29,0.6473108043788701,295.85,0.2789956157831802,0.8888888888888901,26.49,79.89,9.58,2.1,0.7521776586579879,6.94,0.7547169811320752,0.847222222222222,39.1,2,6.577,14.968,299.52,80.46,21.023,298.99,80.34,35.401,298.78,82.05,28.154,298.21,77.37,1970.66651
sj,24.0,0.47925142392188763,0.4230769230769231,0.43541364296081225,0.4102564102564102,0.3356611575278257,3.48,19.89,0.5445026178010558,295.87,0.19131127939418344,0.8518518518518499,38.6,82.0,3.48,2.04,0.6181678950894994,6.77,0.5031446540880505,0.763888888888889,29.7,4,14.967,6.577,299.63,79.89,14.968,299.52,80.46,21.023,298.99,80.34,35.401,298.78,82.05,4478.27607
sj,25.0,0.4141578519121237,0.38461538461538464,0.26124818577648734,0.20512820512820512,0.24894018977747562,151.12,158.94,0.6035221323179428,296.53,0.13551215623754828,0.9166666666666636,30.0,83.38,151.12,1.7,0.8019527136977126,7.69,0.6975414522584331,0.6944444444444445,21.1,5,156.594,14.967,299.21,82.0,6.577,299.63,79.89,14.968,299.52,80.46,21.023,298.99,80.34,46913.996459999995
sj,26.0,0.4629780309194466,0.5384615384615385,0.2031930333817124,0.17948717948717946,0.19097162844702764,19.32,45.19,0.6092336982389386,296.38,0.2550817058589112,0.8518518518518499,37.51,82.77,19.32,1.89,0.7942950129223699,7.39,0.6975414522584331,0.6944444444444445,21.1,10,37.428999999999995,156.594,299.59,83.38,14.967,299.21,82.0,6.577,299.63,79.89,14.968,299.52,80.46,11212.979819999999
sj,27.0,0.5117982099267697,0.4807692307692307,0.29027576197387484,0.38461538461538464,0.3525879774363165,14.41,28.79,0.7463112803426946,296.65,0.27102431247509207,0.9444444444444424,28.4,81.28,14.41,2.01,0.7942950129223699,6.51,0.6975414522584331,0.9166666666666664,1.1,6,24.476,37.428999999999995,299.58,82.77,156.594,299.59,83.38,14.967,299.21,82.0,6.577,299.63,79.89,7346.471399999999
