city,weekofyear,ndvi_ne,ndvi_nw,ndvi_se,ndvi_sw,ndvi_ce,precipitation_amt_mm,precipitation_ground_mm,reanalysis_avg_temp_k,reanalysis_dew_point_temp_k,reanalysis_precip_amt_kg_per_m2,reanalysis_relative_humidity_percent,reanalysis_sat_precip_amt_mm,reanalysis_tdtr_k,station_avg_temp_c,station_diur_temp_rng_c,station_max_temp_c,station_min_temp_c,station_precip_mm,total_cases,precip_composite,precip_composite_lag1,reanalysis_air_temp_k_lag1,reanalysis_relative_humidity_percent_lag1,precip_composite_lag2,reanalysis_air_temp_k_lag2,reanalysis_relative_humidity_percent_lag2,precip_composite_lag3,reanalysis_air_temp_k_lag3,reanalysis_relative_humidity_percent_lag3,precip_composite_lag4,reanalysis_air_temp_k_lag4,reanalysis_relative_humidity_percent_lag4,precip_temp_interaction,weekofyear_sin,weekofyear_cos,week_temp_interaction,week_humidity_interaction
sj,18.0,0.4955248169243286,0.4423076923076923,0.4063860667634248,0.3333333333333333,0.2712001173283676,12.42,13.06,0.2627320323655423,292.41,32.0,73.37,12.42,2.63,0.241026131903896,6.9,0.1829616923956544,0.3055555555555554,16.0,4,12.74,50.68000000000001,298.65,80.3,50.685,298.65,80.3,50.69,298.65,80.3,50.685,298.65,80.3,3829.13076,0.8229838658936566,-0.5680647467311556,0.21622422369029132,-41.678910467664885
sj,19.0,0.5768917819365338,0.5192307692307693,0.2902757619738748,0.282051282051282,0.2983294040310172,22.82,30.44,0.3960019038553084,293.95,17.94,77.37,22.82,2.37,0.484158131521011,6.37,0.445969125214408,0.6111111111111109,8.6,5,26.630000000000003,12.74,297.57,73.37,50.685,298.65,80.3,50.69,298.65,80.3,50.685,298.65,80.3,8395.804339999999,0.7485107481711013,-0.663122658240795,0.2964116813319174,-51.30580006809031
sj,20.0,0.3490642799023596,0.576923076923077,0.2902757619738748,0.3076923076923077,0.0706288951250177,34.54,35.77,0.4797715373631623,295.43,26.1,82.05,34.54,2.3,0.484158131521011,6.49,0.5031446540880505,0.6944444444444445,41.4,4,35.155,26.630000000000003,298.21,77.37,12.74,297.57,73.37,50.69,298.65,80.3,50.685,298.65,80.3,10577.11078,0.6631226582407952,-0.7485107481711012,0.3181473772045332,-61.41530688743885
sj,21.0,0.5117982099267697,0.7307692307692307,0.4934687953555872,0.4871794871794871,0.1091200198484351,15.36,23.45,0.5464064731080508,295.31,13.9,80.34,15.36,2.43,0.6296544462525125,6.77,0.6289308176100624,0.763888888888889,4.0,3,19.405,35.155,298.78,82.05,26.630000000000003,298.21,77.37,12.74,297.57,73.37,50.685,298.65,80.3,6285.66677,0.5680647467311558,-0.8229838658936564,0.310394254758389,-66.11852378589636
sj,22.0,0.6257119609438567,0.75,0.5515239477503622,0.5128205128205129,0.0632089192747204,7.52,18.16,0.6282722513089097,295.82,12.2,80.46,7.52,3.01,0.9110749497463392,9.37,0.8233276157804458,0.847222222222222,5.8,6,12.84,19.405,298.99,80.34,35.155,298.78,82.05,26.630000000000003,298.21,77.37,12.74,297.57,73.37,4483.21536,0.46472317204376906,-0.8854560256532096,0.29197267353535655,-71.24379182405724
sj,23.0,0.5117982099267697,0.576923076923077,0.5515239477503622,0.3333333333333333,0.2334046153409155,9.58,5.29,0.6473108043788701,295.85,26.49,79.89,9.58,2.1,0.7521776586579879,6.94,0.7547169811320752,0.847222222222222,39.1,2,7.4350000000000005,12.84,299.52,80.46,19.405,298.99,80.34,35.155,298.78,82.05,26.630000000000003,298.21,77.37,1970.66651,0.35460488704253584,-0.9350162426854147,0.22953957466818226,-74.69844762813779
sj,24.0,0.4792514239218876,0.4230769230769231,0.4354136429608122,0.4102564102564102,0.3356611575278257,3.48,19.89,0.5445026178010558,295.87,38.6,82.0,3.48,2.04,0.6181678950894994,6.77,0.5031446540880505,0.763888888888889,29.7,4,11.685,7.4350000000000005,299.63,79.89,12.84,299.52,80.46,19.405,298.99,80.34,35.155,298.78,82.05,4478.27607,0.23931566428755766,-0.970941817426052,0.1303080056853738,-79.61722902893626
sj,25.0,0.4141578519121237,0.3846153846153846,0.2612481857764873,0.2051282051282051,0.2489401897774756,151.12,158.94,0.6035221323179428,296.53,30.0,83.38,151.12,1.7,0.8019527136977126,7.69,0.6975414522584331,0.6944444444444445,21.1,5,155.03,11.685,299.21,82.0,7.4350000000000005,299.63,79.89,12.84,299.52,80.46,19.405,298.99,80.34,46913.99646,0.12053668025532308,-0.992708874098054,0.07274655429021866,-82.77206592229574
sj,26.0,0.4629780309194466,0.5384615384615385,0.2031930333817124,0.1794871794871794,0.1909716284470276,19.32,45.19,0.6092336982389386,296.38,37.51,82.77,19.32,1.89,0.7942950129223699,7.39,0.6975414522584331,0.6944444444444445,21.1,10,32.254999999999995,155.03,299.59,83.38,11.685,299.21,82.0,7.4350000000000005,299.63,79.89,12.84,299.52,80.46,11212.97982,-3.216245299353273e-16,-1.0,-1.9594450181685968e-16,-82.77
sj,27.0,0.5117982099267697,0.4807692307692307,0.2902757619738748,0.3846153846153846,0.3525879774363165,14.41,28.79,0.7463112803426946,296.65,28.4,81.28,14.41,2.01,0.7942950129223699,6.51,0.6975414522584331,0.9166666666666664,1.1,6,21.6,32.254999999999995,299.58,82.77,155.03,299.59,83.38,11.685,299.21,82.0,7.4350000000000005,299.63,79.89,7346.471399999999,-0.12053668025532283,-0.992708874098054,-0.08995788416960797,-80.68737728668982
sj,28.0,0.6094385679414157,0.4038461538461538,0.3773584905660373,0.2564102564102564,0.2283033819438361,22.27,40.69,0.6149452641599235,296.04,43.72,81.47,22.27,2.16,0.6468842729970324,7.16,0.445969125214408,0.5416666666666665,63.7,8,31.479999999999997,21.6,300.15,81.28,32.254999999999995,299.58,82.77,155.03,299.59,83.38,11.685,299.21,82.0,10531.969639999998,-0.23931566428755746,-0.9709418174260521,-0.1471660343929196,-79.10262986570046
sj,29.0,0.7721724979658258,0.6538461538461537,0.6966618287372995,0.5897435897435899,0.084773224089647,59.17,63.75,0.6454069490718752,296.33,40.9,82.14,59.17,2.41,0.756006509045659,6.9,0.5717552887364203,0.847222222222222,12.2,2,61.46,31.479999999999997,299.51,81.47,21.6,300.15,81.28,32.254999999999995,299.58,82.77,155.03,299.59,83.38,18692.21592,-0.3546048870425356,-0.9350162426854148,-0.22886445827209986,-76.80223417417997
sj,30.0,0.5443449959316518,0.576923076923077,0.4934687953555872,0.4102564102564102,0.1768272994823983,16.48,36.59,0.624464540694909,295.96,42.53,80.74,16.48,2.07,0.7521776586579879,6.36,0.445969125214408,0.6944444444444445,32.6,6,26.535000000000004,61.46,299.67,82.14,31.479999999999997,299.51,81.47,21.6,300.15,81.28,32.254999999999995,299.58,82.77,9153.65492,-0.46472317204376806,-0.8854560256532101,-0.2902031421805928,-71.49171951124018
sj,31.0,0.5117982099267697,0.7307692307692307,0.9288824383163996,0.8461538461538461,0.2248252682640092,32.66,64.67,0.6834840552118069,296.17,34.6,80.58,32.66,2.59,0.7770651861778499,8.09,0.7547169811320752,0.6944444444444445,37.6,17,48.665,26.535000000000004,299.56,80.74,61.46,299.67,82.14,31.479999999999997,299.51,81.47,21.6,300.15,81.28,16512.39062,-0.5680647467311556,-0.8229838658936566,-0.38826319671867826,-66.31603991371084
sj,32.0,0.5117982099267697,0.3653846153846153,0.2902757619738748,0.2307692307692307,0.2385058487379949,28.8,80.08,0.784388386482637,296.53,20.0,79.65,28.8,2.33,0.7694074854025079,7.56,0.6289308176100624,0.763888888888889,11.4,23,54.44,48.665,299.86,80.58,26.535000000000004,299.56,80.74,61.46,299.67,82.14,31.479999999999997,299.51,81.47,19434.03144,-0.663122658240795,-0.7485107481711013,-0.5201457119375743,-59.61888109182822
sj,33.0,0.5117982099267697,0.5,0.4354136429608122,0.3076923076923077,0.0657595359732601,90.75,116.61,0.6853879105188018,297.04,101.9,84.18,90.75,1.86,0.738776682301139,6.69,0.5717552887364203,0.6944444444444445,44.7,13,103.68,54.44,300.39,79.65,48.665,299.86,80.58,26.535000000000004,299.56,80.74,61.46,299.67,82.14,32651.245919999998,-0.7485107481711011,-0.6631226582407952,-0.513020217689856,-55.82166537071014
sj,34.0,0.6094385679414157,0.576923076923077,0.3193033381712623,0.3076923076923077,0.2076665741101966,32.4,64.81,0.7710613993336615,296.73,25.9,80.95,32.4,2.49,0.7962094381162057,7.01,0.6289308176100624,0.763888888888889,5.4,21,48.605000000000004,103.68,299.96,84.18,54.44,300.39,79.65,48.665,299.86,80.58,26.535000000000004,299.56,80.74,16544.27871,-0.8229838658936564,-0.5680647467311559,-0.634571091264989,-45.984841247887076
sj,35.0,0.7070789259560618,0.8846153846153846,0.5805515239477497,0.5897435897435899,0.3236036967710925,40.94,96.0,0.7348881485007248,297.02,39.8,83.35,40.94,1.9,0.8574710443189435,6.53,0.5031446540880505,0.9166666666666664,13.7,28,68.47,48.605000000000004,300.33,80.95,103.68,299.96,84.18,54.44,300.39,79.65,48.665,299.86,80.58,23854.13784,-0.8854560256532096,-0.4647231720437691,-0.6507111392710975,-38.734676389848154
sj,36.0,0.6908055329536208,0.6346153846153846,0.6386066763425247,0.4615384615384615,0.1912035026923494,28.86,78.7,0.814850071394578,296.12,30.4,77.17,28.86,3.47,0.7942950129223699,7.61,0.5717552887364203,0.763888888888889,14.2,24,53.78,68.47,300.12,83.35,48.605000000000004,300.33,80.95,103.68,299.96,84.18,54.44,300.39,79.65,19158.18644,-0.9350162426854147,-0.3546048870425359,-0.7618980521073002,-27.364859133072496
sj,37.0,0.5117982099267697,1.0,0.1741654571843248,0.2564102564102564,0.4033684371617889,64.56,100.79,0.8434079009995348,297.19,24.18,81.55,64.56,2.9,0.8632143199004503,8.06,0.6975414522584331,0.9166666666666664,25.9,20,82.67500000000001,53.78,300.53,77.17,68.47,300.12,83.35,48.605000000000004,300.33,80.95,103.68,299.96,84.18,27036.54707,-0.970941817426052,-0.23931566428755774,-0.81890000022798,-19.516192422650334
sj,38.0,0.6257119609438567,0.5961538461538461,0.5515239477503622,0.6666666666666666,0.2556645428918075,143.73,219.29,0.6739647786768213,296.43,36.6,81.64,143.73,1.74,0.7770651861778499,8.11,0.5717552887364203,0.847222222222222,3.3,40,181.51,82.67500000000001,300.67,81.55,53.78,300.53,77.17,68.47,300.12,83.35,48.605000000000004,300.33,80.95,58959.07292,-0.992708874098054,-0.12053668025532356,-0.6690508166220114,-9.840614576044615
