weekofyear,ndvi_ne,ndvi_nw,ndvi_se,ndvi_sw,ndvi_ce,precipitation_amt_mm,precipitation_ground_mm,reanalysis_avg_temp_k,reanalysis_dew_point_temp_k,reanalysis_precip_amt_kg_per_m2,reanalysis_relative_humidity_percent,reanalysis_sat_precip_amt_mm,reanalysis_tdtr_k,station_avg_temp_c,station_diur_temp_rng_c,station_max_temp_c,station_min_temp_c,station_precip_mm,total_cases,precip_composite,precip_composite_lag1,reanalysis_air_temp_k_lag1,reanalysis_relative_humidity_percent_lag1,precip_composite_lag2,reanalysis_air_temp_k_lag2,reanalysis_relative_humidity_percent_lag2,precip_composite_lag3,reanalysis_air_temp_k_lag3,reanalysis_relative_humidity_percent_lag3,precip_composite_lag4,reanalysis_air_temp_k_lag4,reanalysis_relative_humidity_percent_lag4,precip_temp_interaction,weekofyear_sin,weekofyear_cos,week_temp_interaction,week_humidity_interaction,ndvi_ce_log,temp_binned_low,temp_binned_optimal,temp_binned_high,humidity_precip_interaction,temp_binned_low,temp_binned_optimal,temp_binned_high,temp_binned_low,temp_binned_optimal,temp_binned_high
18.0,0.4955248169243286,0.4423076923076923,0.4063860667634248,0.3333333333333333,1.2728070058484475,12.42,13.06,-0.7948717948718055,292.41,32.0,0.0,12.42,2.63,0.241026131903896,6.9,0.1829616923956544,0.3055555555555554,16.0,4,12.74,50.68000000000001,0.0,0.0,50.685,0.0,0.0,50.69,0.0,0.0,50.685,0.0,0.0,3829.13076,1.8517136982607272,-1.2781456801451,0.2162242236902913,-41.678910467664885,0.20143109126182335,1,0,0,934.7338000000001,1,0,0,1,0,0
19.0,0.5768917819365338,0.5192307692307693,0.2902757619738748,0.282051282051282,1.299936292551097,22.82,30.44,-0.43589743589745034,293.95,17.94,0.0,22.82,2.37,0.484158131521011,6.37,0.445969125214408,0.6111111111111109,8.6,5,26.630000000000003,12.74,-0.49942196531790645,0.0,50.685,0.0,0.0,50.69,0.0,0.0,50.685,0.0,0.0,8395.804339999999,1.6841491833849778,-1.4920259810417886,0.2964116813319174,-51.30580006809031,0.39044477505579783,1,0,0,2060.3631000000005,1,0,0,1,0,0
20.0,0.3490642799023596,0.576923076923077,0.2902757619738748,0.3076923076923077,1.0722357836450975,34.54,35.77,-0.21025641025642466,295.43,26.1,0.19863791146424511,34.54,2.3,0.484158131521011,6.49,0.5031446540880505,0.6944444444444445,41.4,4,35.155,26.630000000000003,-0.2034682080924947,0.0,12.74,-0.49999999999998246,0.0,50.69,0.0,0.0,50.685,0.0,0.0,10577.11078,1.492025981041789,-1.6841491833849778,0.3181473772045332,-61.41530688743885,-1.3353622045233544,1,0,0,2884.46775,1,0,0,1,0,0
21.0,0.5117982099267697,0.7307692307692307,0.4934687953555872,0.4871794871794871,1.110726908368515,15.36,23.45,-0.030769230769232266,295.31,13.9,0.004540295119183993,15.36,2.43,0.6296544462525125,6.77,0.6289308176100624,0.763888888888889,4.0,3,19.405,35.155,0.060115606936414503,0.19920318725099587,26.630000000000003,-0.20370370370371085,0.0,12.74,-0.49999999999998246,0.0,50.685,0.0,0.0,6285.66677,1.2781456801451005,-1.851713698260727,0.310394254758389,-66.11852378589636,-1.0192840134014982,1,0,0,1558.9977000000001,1,0,0,1,0,0
22.0,0.6257119609438567,0.75,0.5515239477503622,0.5128205128205129,1.0648158077948002,7.52,18.16,0.18974358974359298,295.82,12.2,0.01816118047673167,7.52,3.01,0.9110749497463392,9.37,0.8233276157804458,0.847222222222222,5.8,6,12.84,19.405,0.15722543352602739,0.004553215708595442,35.155,0.06018518518518291,0.2010338885697874,26.630000000000003,-0.20370370370371085,0.0,12.74,-0.49999999999998246,0.0,4483.21536,1.0456271370984802,-1.9922760577197214,0.2919726735353565,-71.24379182405724,-1.3975957378874546,1,0,0,1033.1064,1,0,0,1,0,0
23.0,0.5117982099267697,0.576923076923077,0.5515239477503622,0.3333333333333333,1.2350115038609955,9.58,5.29,0.24102564102562685,295.85,26.49,0.0,9.58,2.1,0.7521776586579879,6.94,0.7547169811320752,0.847222222222222,39.1,2,7.435,12.84,0.4023121387283286,0.018212862834377456,19.405,0.1574074074074217,0.004595060310167832,35.155,0.06018518518518291,0.20301624129930385,26.630000000000003,-0.20370370370371085,0.0,1970.66651,0.7978609958457055,-2.1037865460421834,0.2295395746681822,-74.69844762813779,-0.06872336020372362,1,0,0,593.9821499999999,1,0,0,1,0,0
24.0,0.4792514239218876,0.4230769230769231,0.4354136429608122,0.4102564102564102,1.3372680460479056,3.48,19.89,-0.035897435897432856,295.87,38.6,0.19296254256526754,3.48,2.04,0.6181678950894994,6.77,0.5031446540880505,0.763888888888889,29.7,4,11.685,7.435,0.4531791907514567,0.0,12.84,0.40277777777777873,0.018380241240666974,19.405,0.1574074074074217,0.004640371229699648,35.155,0.06018518518518291,0.2050981541166132,4478.27607,0.5384602446470046,-2.184619089208617,0.1303080056853738,-79.61722902893626,0.644190566781482,1,0,0,958.1700000000001,1,0,0,1,0,0
25.0,0.4141578519121237,0.3846153846153846,0.2612481857764873,0.2051282051282051,1.2505470782975556,151.12,158.94,0.12307692307689916,296.53,30.0,0.3496027241770718,151.12,1.7,0.8019527136977126,7.69,0.6975414522584331,0.6944444444444445,21.1,5,155.03,11.685,0.25895953757224843,0.193511667615254,7.435,0.4537037037037108,0.0,12.84,0.40277777777777873,0.018561484918794197,19.405,0.1574074074074217,0.004687957808381019,46913.99646,0.2712075305744768,-2.2335949667206214,0.0727465542902186,-82.77206592229574,0.04330918361453825,1,0,0,12926.401399999999,1,0,0,1,0,0
26.0,0.4629780309194466,0.5384615384615385,0.2031930333817124,0.1794871794871794,1.1925785169671075,19.32,45.19,0.13846153846152984,296.38,37.51,0.2803632236095355,19.32,1.89,0.7942950129223699,7.39,0.6975414522584331,0.6944444444444445,21.1,10,32.254999999999995,155.03,0.43468208092486627,0.35059760956175307,11.685,0.2592592592592508,0.19529006318208006,7.435,0.4537037037037108,0.0,12.84,0.40277777777777873,0.01875183123351963,11212.97982,-7.236551923544865e-16,-2.25,-1.9594450181685966e-16,-82.77,-0.382057505800431,1,0,0,2669.7463499999994,1,0,0,1,0,0
27.0,0.5117982099267697,0.4807692307692307,0.2902757619738748,0.3846153846153846,1.3541948659563965,14.41,28.79,0.5076923076922861,296.65,28.4,0.11123723041997825,14.41,2.01,0.7942950129223699,6.51,0.6975414522584331,0.9166666666666664,1.1,6,21.6,32.254999999999995,0.43005780346822303,0.2811610700056923,155.03,0.43518518518519167,0.35381964388282616,11.685,0.2592592592592508,0.19721577726218176,7.435,0.4537037037037108,0.0,7346.471399999999,-0.2712075305744763,-2.2335949667206214,-0.0899578841696079,-80.68737728668982,0.7569175614543864,1,0,0,1755.6480000000001,1,0,0,1,0,0
28.0,0.6094385679414157,0.4038461538461538,0.3773584905660373,0.2564102564102564,1.229910270463916,22.27,40.69,0.15384615384613143,296.04,43.72,0.13280363223609604,22.27,2.16,0.6468842729970324,7.16,0.445969125214408,0.5416666666666665,63.7,8,31.48,21.6,0.6936416184971147,0.11155378486055868,32.254999999999995,0.4305555555555663,0.2837449741527866,155.03,0.43518518518519167,0.3573085846867751,11.685,0.2592592592592508,0.19923820685613944,10531.969639999998,-0.5384602446470041,-2.184619089208617,-0.1471660343929196,-79.10262986570046,-0.10581772187213527,1,0,0,2564.6756,1,0,0,1,0,0
29.0,0.7721724979658258,0.6538461538461537,0.6966618287372995,0.5897435897435899,1.086380112609727,59.17,63.75,0.23589743589742665,296.33,40.9,0.20885357548240777,59.17,2.41,0.756006509045659,6.9,0.5717552887364203,0.847222222222222,12.2,2,61.46,31.48,0.3976878612716854,0.13318155947638083,21.6,0.6944444444444425,0.11257897759908195,32.254999999999995,0.4305555555555663,0.28654292343387555,155.03,0.43518518518519167,0.3609727512452396,18692.21592,-0.7978609958457052,-2.1037865460421834,-0.2288644582720998,-76.80223417417997,-1.2179134482600202,1,0,0,5048.3244,1,0,0,1,0,0
30.0,0.5443449959316518,0.576923076923077,0.4934687953555872,0.4102564102564102,1.1784341880024782,16.48,36.59,0.1794871794871627,295.96,42.53,0.049943246311009944,16.48,2.07,0.7521776586579879,6.36,0.445969125214408,0.6944444444444445,32.6,6,26.535000000000004,61.46,0.4716763005780471,0.20944792259533426,31.48,0.39814814814815336,0.1344055140723729,21.6,0.6944444444444425,0.11368909512761116,32.254999999999995,0.4305555555555663,0.2894813946674493,9153.65492,-1.045627137098478,-1.9922760577197227,-0.2902031421805928,-71.49171951124018,-0.48898486673772174,1,0,0,2142.4359,1,0,0,1,0,0
31.0,0.5117982099267697,0.7307692307692307,0.9288824383163996,0.8461538461538461,1.226432156784089,32.66,64.67,0.3384615384615242,296.17,34.6,0.03178206583428043,32.66,2.59,0.7770651861778499,8.09,0.7547169811320752,0.6944444444444445,37.6,17,48.665,26.535000000000004,0.42080924855493657,0.05008537279453585,61.46,0.47222222222223004,0.21137277426766368,31.48,0.39814814814815336,0.13573085846867816,21.6,0.6944444444444425,0.11485496630530442,16512.39062,-1.2781456801451,-1.8517136982607272,-0.3882631967186782,-66.31603991371084,-0.131197649658401,1,0,0,3921.4257,1,0,0,1,0,0
32.0,0.5117982099267697,0.3653846153846153,0.2902757619738748,0.2307692307692307,1.240112737258075,28.8,80.08,0.6102564102564124,296.53,20.0,0.0,28.8,2.33,0.7694074854025079,7.56,0.6289308176100624,0.763888888888889,11.4,23,54.44,48.665,0.559537572254356,0.03187250996016055,26.535000000000004,0.4212962962963155,0.050545663411832004,61.46,0.47222222222223004,0.21345707656612667,31.48,0.39814814814815336,0.13712276589510786,19434.03144,-1.4920259810417886,-1.6841491833849778,-0.5201457119375743,-59.61888109182822,-0.03178190199802289,1,0,0,4336.146,1,0,0,1,0,0
33.0,0.5117982099267697,0.5,0.4354136429608122,0.3076923076923077,1.06736642449334,90.75,116.61,0.34358974358972444,297.04,101.9,0.440408626560728,90.75,1.86,0.738776682301139,6.69,0.5717552887364203,0.6944444444444445,44.7,13,103.68,54.44,0.8046242774566572,0.0,48.665,0.5601851851852004,0.032165422171167204,26.535000000000004,0.4212962962963155,0.05104408352668184,61.46,0.47222222222223004,0.2156460591854691,32651.24592,-1.6841491833849775,-1.492025981041789,-0.513020217689856,-55.82166537071014,-1.3761541810932347,1,0,0,8727.782400000002,1,0,0,1,0,0
34.0,0.6094385679414157,0.576923076923077,0.3193033381712623,0.3076923076923077,1.2092734626302766,32.4,64.81,0.5743589743589795,296.73,25.9,0.07377979568672134,32.4,2.49,0.7962094381162057,7.01,0.6289308176100624,0.763888888888889,5.4,21,48.605,103.68,0.6057803468208058,0.4416619237336382,54.44,0.8055555555555575,0.0,48.665,0.5601851851852004,0.032482598607889844,26.535000000000004,0.4212962962963155,0.05156753589217677,16544.27871,-1.851713698260727,-1.2781456801451008,-0.634571091264989,-45.98484124788708,-0.2574681346261098,1,0,0,3934.5747499999998,1,0,0,1,0,0
35.0,0.7070789259560618,0.8846153846153846,0.5805515239477497,0.5897435897435899,1.3252105852911724,40.94,96.0,0.476923076923083,297.02,39.8,0.3461975028376846,40.94,1.9,0.8574710443189435,6.53,0.5031446540880505,0.9166666666666664,13.7,28,68.47,48.605,0.7768786127167804,0.07398975526465734,103.68,0.6064814814814721,0.44572085008615886,54.44,0.8055555555555575,0.0,48.665,0.5601851851852004,0.03281570465865936,23854.13784,-1.9922760577197214,-1.0456271370984804,-0.6507111392710975,-38.73467638984816,0.5630182532572577,1,0,0,5706.974499999999,1,0,0,1,0,0
